general_question,specific_question
"Hola, ¿cómo estás?",Necesito saber cuándo se considera una huelga vinculante.
¿Puedes repetir eso?,¿Cuántos dias flexibles tengo?
¿Qué estás haciendo?,¿Que es ña semana flexible?
Gracias por la información.,Que responsabilidades tiene mi superior
¿Puedes explicarme eso otra vez?,Cuantas horas tiene un dia de jornada reducida
Repite lo que dijiste.,"Por favor, indícame cuántos días flexibles me quedan este año."
¿Cuál es tu nombre?,Cuando se dice que Ikerlan esta de huelga
¿Qué puedes hacer?,Infórmame sobre las horas máximas que puedo imputar en un día.
¿Eres un robot?,Estoy buscando las políticas de teletrabajo de la empresa.
Dime más sobre ti.,Cuanto tiempo puedo usar las areas de descanso de Ikerlan
¿Podrías reformularlo? No lo entendí del todo.,¿Cómo debo proceder para convocar una huelga?
Lo que dijiste no tiene sentido para mí,Quiero conocer los beneficios por antigüedad que tengo.
"No entiendo bien lo que mencionaste, podrías explicarlo",Explícame los pasos para solicitar un aumento de sueldo.
"¿Puedes repetir lo que dijiste, No lo entendí completamente.",Me gustaría saber qué cubre el seguro médico de la empresa.
"Lo que dijiste me parece confuso, puedes explicarlo mejor",Indica cuántos días de vacaciones puedo acumular.
¿Cuántos años tienes?,Muéstrame cómo acceder a la intranet de la empresa.
¿Dónde estás?,Necesito los documentos para justificar una ausencia.
¿Estás disponible?,Calcula el bono anual según las políticas de la empresa.
¿Puedes hablar?,¿Qué opciones de formación están disponibles?
¿Qué idiomas hablas?,No sé si puedo transferir días de vacaciones al próximo año.
Hola.,Explícame el proceso para reportar un incidente de seguridad.
¿Qué significa esto?,Quiero actualizar mis datos personales en la base de datos.
No estoy seguro de lo que dijiste.,Indica la política de la empresa sobre el uso de correos electrónicos personales.
¿Puedes decirlo de otra manera?,Informa sobre qué hacer en caso de accidente laboral.
"Me perdí, ¿puedes repetir?",Dime cuánto tiempo tengo para reportar un gasto.
¿Eres real?,He olvidado mi contraseña de la cuenta corporativa. ¿Qué hago?
¿Qué es inteligencia artificial?,Quiero saber cómo solicitar un permiso sin sueldo.
¿Estás vivo?,Estoy presenciando acoso en el trabajo. ¿Qué debo hacer?
¿Puedes ayudarme?,¿Puedo llevar a cabo tareas de voluntariado durante el horario laboral?
No entiendo.,Indícame los requisitos para acceder al plan de pensiones de la empresa.
Aclara lo que dijiste.,¿Qué pasa si supero las horas extras permitidas?
¿Puedes hablar más lento?,Muéstrame cómo consultar mi historial de evaluaciones de desempeño.
¿Qué piensas sobre eso?,Necesito saber las políticas sobre el uso de redes sociales.
¿Cuál es tu opinión?,Quiero reducir mi jornada laboral. ¿Qué opciones tengo?
Háblame más sobre eso.,Explícame la política de reembolso de gastos de viaje.
No sé a qué te refieres.,Mi tarjeta de acceso no funciona. ¿Qué debo hacer?
¿Puedes darme más detalles?,Solicito un cambio de departamento. ¿Cuál es el proceso?
Estoy confundido.,¿Cómo se reporta una queja formal?
¿Por qué dijiste eso?,Necesito saber cuántos días de baja por enfermedad tengo.
Explícame más.,Infórmame sobre las bajas maternales y paternales.
No entendí la última parte.,Quiero trabajar desde otra ciudad. ¿Es posible?
¿Puedes simplificarlo?,Muéstrame las políticas de confidencialidad de la empresa.
Repítelo de nuevo.,Dime si puedo usar dispositivos personales en el trabajo.
¿Estás seguro?,Quiero conocer los servicios cubiertos por el seguro dental.
¿Es cierto?,¿Cuándo se realiza la evaluación de desempeño anual?
¿Qué es eso?,Explícame los criterios para recibir un ascenso.
¿Cómo dijiste?,¿Puedo acceder a formación en línea gratuita a través de la empresa?
